STATION,LINENAME,DAILYENTRY,DAILYEXIT,ZIPCODE
34 ST-PENN STA,ACE,998084,863291,10001
GRD CNTRL-42 ST,4567S,944432,826056,10170
34 ST-HERALD SQ,BDFMNQRW,863293,985465,10001
42 ST-PORT AUTH,ACENQRS1237W,841431,625774,10011
FULTON ST,2345ACJZ,760685,669426,10038
TIMES SQ-42 ST,1237ACENQRSW,644668,563553,10036
PATH NEW WTC,1,578550,559872,10007
CANAL ST,JNQRZ6W,552788,438583,10013
59 ST,456NQRW,508822,527214,11220
FLUSHING-MAIN,7,490510,593931,11354
47-50 STS ROCK,BDFM,478584,497381,10020
14 ST-UNION SQ,LNQR456W,470685,417703,10003
86 ST,456,447470,337600,10024
ATL AV-BARCLAY,BDNQR2345,435497,370568,11217
JKSN HT-ROOSVLT,EFMR7,434232,398246,11372
59 ST COLUMBUS,ABCD1,428632,431036,10023
LEXINGTON AV/53,EM6,422861,438233,10022
W 4 ST-WASH SQ,ABCDEFM,420295,291975,10012
96 ST,123,412109,420814,10128
33 ST,6,406916,391243,10016
DELANCEY/ESSEX,FJMZ,404135,363804,10002
42 ST-BRYANT PK,BDFM7,400973,343383,10021
CHAMBERS ST,ACE23,396029,310034,10007
JAY ST-METROTEC,ACF,391239,364672,11201
CORTLANDT ST,RNW,381052,221956,10006
BOROUGH HALL,2345R,356041,302468,
FOREST HILLS 71,EFMR,355355,275812,
34 ST-PENN STA,123,349325,319356,
23 ST,6,349211,331362,
49 ST,NQRW,344077,317805,
34 ST-PENN STA,123ACE,342088,348891,
BOWLING GREEN,45,334009,234155,
72 ST,123,331515,335911,
CROWN HTS-UTICA,34,330737,255387,
50 ST,1,330509,262563,
86 ST,1,324476,270417,
JOURNAL SQUARE,1,324305,236276,
ATL AV-BARCLAY,2345BDNQR,323581,187923,
51 ST,6,321153,321403,
JAMAICA 179 ST,F,315006,198914,
125 ST,ACBD,312617,282571,
14 ST,123FLM,309299,221697,
CONEY IS-STILLW,DFNQ,305696,240071,
JAMAICA CENTER,EJZ,305099,320295,
57 ST-7 AV,NQRW,304992,275586,
KEW GARDENS,EF,297975,258362,
WALL ST,23,296963,302340,
GROVE STREET,1,293310,304900,
28 ST,6,293293,282408,
CHURCH AV,BQ,293280,234887,
72 ST-2 AVE,Q,293072,307071,
THIRTY THIRD ST,1,290781,210548,
FULTON ST,ACJZ2345,288862,258820,
66 ST-LINCOLN,1,288418,306107,
FLATBUSH AV-B.C,25,288298,236323,
SOUTH FERRY,1RW,285654,141419,
14 ST,FLM123,285062,279361,
B'WAY-LAFAYETTE,BDFQ6,282109,290447,
50 ST,CE,276011,209346,
BEDFORD AV,L,271077,179842,
SUTPHIN-ARCHER,EJZ,270582,270411,
23 ST,NRW,267041,234122,
77 ST,6,264209,236998,
LEXINGTON AV/63,F,263659,277734,
NEWARK BM BW,1,261497,28034,
DEKALB AV,BDNQR,258183,185936,
EXCHANGE PLACE,1,257118,209271,
KINGS HWY,BQ,256917,270352,
125 ST,456,253866,289883,
WALL ST,45,253217,223515,
ST. GEORGE,1,250012,6,
WHITEHALL S-FRY,R1W,247356,251057,
82 ST-JACKSON H,7,246890,181894,
5 AV/53 ST,EM,246435,224390,
23 ST,CE,246019,249525,
MYRTLE-WYCKOFF,LM,243145,147117,
BROOKLYN BRIDGE,456JZ,241760,236706,
JFK JAMAICA CT1,E,241612,224572,
CANAL ST,ACE,241085,228494,
68ST-HUNTER CO,6,240153,257939,
BRIGHTON BEACH,BQ,240015,198047,
161/YANKEE STAD,4BD,239076,127705,
8 ST-NYU,NRW,235922,191758,
63 DR-REGO PARK,MR,232141,128873,
96 ST-2 AVE,Q,231113,243383,
QUEENS PLAZA,EMR,230529,221856,
CITY / BUS,1,230290,175292,
175 ST,A,225975,152582,
CHAMBERS ST,123,224442,220763,
ASTOR PL,6,223133,202678,
59 ST,NQR456W,221002,134243,
BLEECKER ST,6DF,218241,127759,
STEINWAY ST,MR,216387,154443,
JUNCTION BLVD,7,213161,209815,
MARCY AV,JMZ,212912,145889,
8 AV,ACEL,212844,228011,
161/YANKEE STAD,BD4,211655,205760,
59 ST COLUMBUS,1ABCD,210367,179541,
168 ST,AC1,210315,90877,
3 AV-149 ST,25,210300,178154,
90 ST-ELMHURST,7,208203,181060,
5 AV/59 ST,NQRW,207694,164590,
145 ST,ABCD,205991,210705,
VERNON-JACKSON,7,204174,161748,
103 ST-CORONA,7,203521,201864,
7 AV,BDE,201879,197153,
PAVONIA/NEWPORT,1,200332,191669,
116 ST,23,199172,113308,
46 ST BLISS ST,7,199011,197119,
SHEEPSHEAD BAY,BQ,198413,148375,
CHURCH AV,FG,196249,130753,
14 ST,ACEL,195449,154212,
79 ST,1,193571,177796,
169 ST,F,192998,144512,
61 ST WOODSIDE,7,192966,204730,
135 ST,23,192250,104575,
86 ST-2 AVE,Q,192150,282072,
4AV-9 ST,DFGMNR,191387,156501,
28 ST,NRW,191081,178559,
CARROLL ST,FG,190328,80346,
57 ST,F,189450,225001,
TREMONT AV,BD,188810,148268,
UTICA AV,AC,188149,198904,
BERGEN ST,FG,188009,149422,
NEVINS ST,2345,187503,178995,
EAST BROADWAY,F,187136,140810,
14 ST-UNION SQ,456LNQRW,184060,152627,
34 ST-HUDSON YD,7,183756,135829,
HUNTS POINT AV,6,183074,157479,
WOODHAVEN BLVD,MR,182941,150641,
FRANKLIN AV,2345S,180171,128842,
2 AV,F,178945,179263,
46 ST,MR,178634,158306,
1 AV,L,178470,143546,
WORLD TRADE CTR,ACE23,178217,156766,
MOSHOLU PKWY,4,176747,68709,
NASSAU AV,G,174555,92677,
CHRISTOPHER ST,1,174072,171707,
PRINCE ST,NRW,173452,188009,
125 ST,23,172957,148547,
KINGSBRIDGE RD,BD,172424,146586,
116 ST,6,168357,180584,
42 ST-PORT AUTH,ACENGRS1237W,166777,146429,
23 ST,FM,166598,164361,
HOUSTON ST,1,165898,156725,
GRAND-NEWTOWN,MR,164050,158785,
LACKAWANNA,1,163439,159015,
28 ST,1,163294,179777,
7 AV,FG,161560,138553,
157 ST,1,160742,114330,
137 ST CITY COL,1,160127,175733,
METROPOLITAN AV,GL,158924,113739,
METS-WILLETS PT,7,158751,130848,
HOYT ST,23,158701,136888,
NORWOOD 205 ST,D,158516,132038,
WEST FARMS SQ,25,156692,103890,
NOSTRAND AV,AC,156051,171626,
FORDHAM RD,BD,155695,136677,
TIMES SQ-42 ST,1237ACENQRS,153054,153072,
170 ST,BD,152715,87026,
81 ST-MUSEUM,BC,152250,128640,
GREENPOINT AV,G,152172,86962,
GRAND ST,BD,151065,165199,
TIMES SQ-42 ST,ACENQRS1237W,150174,143044,
PARKCHESTER,6,149519,201247,
AVENUE J,BQ,149274,77457,
CATHEDRAL PKWY,BC,148956,96797,
145 ST,1,147946,119860,
CANARSIE-ROCKAW,L,147033,76036,
ASTORIA DITMARS,NQW,145969,113014,
86 ST,R,145724,102799,
PARSONS BLVD,F,145475,93102,
MORGAN AV,L,143395,81685,
INWOOD-207 ST,A,142235,101082,
5 AVE,7BDFM,142169,112617,
181 ST,A,141580,123257,
CENTRAL PK N110,23,140544,149722,
CHAMBERS ST,JZ456,139729,119274,
PROSPECT PARK,BQS,139426,132179,
COURT SQ,EMG,139360,106115,
FRANKLIN AV,ACS,139182,129655,
AVENUE M,BQ,139023,62470,
CLINTON-WASH AV,C,138386,106945,
15 ST-PROSPECT,FG,137176,85746,
OZONE PK LEFFRT,A,136196,116311,
167 ST,BD,135922,104254,
174-175 STS,BD,135854,48966,
CITY HALL,NRW,135178,80981,
125 ST,1,135157,140619,
EUCLID AV,AC,134966,79515,
ROCKAWAY BLVD,A,134383,56710,
HUNTERS PT AV,7,134283,128556,
RECTOR ST,NRW,134199,54337,
59 ST,NRW,132578,147516,
23 ST,1,132518,144560,
67 AV,MR,131002,88704,
116 ST,BC,130057,107010,
BROOK AV,6,128427,119555,
103 ST,1,127730,119133,
CATHEDRAL PKWY,1,127221,137171,
111 ST,7,127219,112942,
BEDFORD PK BLVD,BD,126942,92089,
69 ST,7,125981,125258,
96 ST,BC,125927,141831,
ROCKAWAY AV,3,125741,110335,
WOODLAWN,4,125107,41357,
ASTORIA BLVD,NQW,124909,91841,
BEDFORD-NOSTRAN,G,124548,80729,
135 ST,BC,124276,85214,
BROADWAY JCT,ACJLZ,124149,145195,
HALSEY ST,L,123734,91742,
NEW LOTS AV,3,120850,111419,
33 ST-RAWSON ST,7,120473,135726,
168 ST,1AC,120084,122307,
QUEENSBORO PLZ,7NQW,119891,96725,
FAR ROCKAWAY,A,118688,101901,
116 ST-COLUMBIA,1,118551,98335,
MT EDEN AV,4,117674,88233,
COURT SQ,7,117604,113789,
BAY RIDGE-95 ST,R,117590,73951,
36 ST,DNR,117416,134086,
110 ST,6,117344,149436,
40 ST LOWERY ST,7,115925,137362,
BROAD ST,JZ,115904,67721,
WAKEFIELD/241,2,115825,103464,
NEWARK C,1,115582,13762,
ELMHURST AV,MR,115318,70584,
SIMPSON ST,25,114995,50647,
DEKALB AV,L,114501,80286,
GUN HILL RD,25,114201,103585,
WOODHAVEN BLVD,JZ,114165,50403,
ROCKAWAY AV,C,113450,69118,
CASTLE HILL AV,6,113204,93275,
JEFFERSON ST,L,113128,42763,
18 ST,1,112835,108504,
NEWKIRK PLAZA,BQ,112272,118958,
E 180 ST,25,111955,105523,
BURNSIDE AV,4,111502,111342,
CHURCH AV,25,111311,53262,
149/GRAND CONC,245,111078,98505,
52 ST,7,110986,120192,
PELHAM PKWY,25,110841,87007,
SPRING ST,CE,110837,61268,
PELHAM BAY PARK,6,110601,115556,
181 ST,1,110201,108504,
36 ST,MR,109795,78745,
KINGSTON-THROOP,C,109734,105116,
NORTHERN BLVD,MR,109610,110553,
174 ST,25,109573,125682,
BAY PKWY,D,109433,105961,
8 AV,N,109226,107416,
THIRTY ST,1,108705,92768,
HARRISON,1,107623,86105,
103 ST,6,106495,105890,
96 ST,6,106284,104340,
3 AV,L,105960,111119,
UNION ST,R,105279,86993,
14TH STREET,1,105215,131695,
LORIMER ST,JM,104969,59412,
HOWARD BCH JFK,A,104364,102481,
176 ST,4,104188,77897,
HOYT-SCHER,ACG,103739,110582,
HIGH ST,AC,103302,97738,
DYCKMAN ST,1,103289,74491,
207 ST,1,103129,75592,
EASTN PKWY-MUSM,23,103089,63072,
SARATOGA AV,3,102644,69976,
SUTPHIN BLVD,F,102599,67391,
LAFAYETTE AV,C,100977,57477,
RALPH AV,C,100765,71941,
FRESH POND RD,M,100652,105190,
NEWARK HW BMEBE,1,99748,83702,
COURT SQ-23 ST,EMG,99564,46275,
183 ST,4,99488,71376,
RECTOR ST,1,98597,98449,
GRAND ST,L,97801,116215,
AVENUE U,BQ,97576,60837,
E 149 ST,6,97433,104105,
JACKSON AV,25,97385,27622,
FT HAMILTON PKY,D,97033,61488,
9 AV,D,96480,92658,
JAMAICA VAN WK,E,95831,61248,
PROSPECT AV,25,94782,53219,
KINGSBRIDGE RD,4,94343,90653,
NEWKIRK AV,25,93768,90454,
TWENTY THIRD ST,1,93605,73752,
72 ST,BC,93428,99091,
4 AV-9 ST,DFGMNR,93426,86326,
BAY PKWY,N,93349,86124,
GRAND ARMY PLAZ,23,93118,64442,
MYRTLE-WILLOUGH,G,93047,49274,
GRAHAM AV,L,92870,82629,
V.CORTLANDT PK,1,92819,63204,
METROPOLITAN AV,M,92026,81345,
86 ST,BC,91545,77602,
MORISN AV/SNDVW,6,91534,87699,
FT HAMILTON PKY,FG,91520,42159,
231 ST,1,91485,36289,
3 AV 138 ST,6,91108,91922,
167 ST,4,90964,96156,
FREEMAN ST,25,90769,78762,
FULTON ST,G,90646,83232,
ELDER AV,6,90603,88373,
170 ST,4,88695,107238,
LORIMER ST,LG,88202,35410,
CYPRESS AV,6,87591,64273,
191 ST,1,87208,91010,
FORDHAM RD,4,87121,56983,
45 ST,R,87076,79414,
NECK RD,BQ,86720,28639,
SPRING ST,6,85995,95518,
PENNSYLVANIA AV,3,85886,42614,
MARBLE HILL-225,1,85691,25097,
